,contributor,bothunter,app,bodegha,rabbit,manual
0,matbech,Human,False,Bot,Bot,Bot
1,oxygen-dioxide,Human,False,Unknown,Human,Human
2,gertd,Human,False,Bot,Human,Human
3,babblebauble,Human,False,Bot,Bot,Bot
4,mecgmecg,Human,False,Bot,Unknown,Bot
5,DattatreyaReddy,Human,False,Bot,Human,Human
6,wingetbot,Bot,False,Bot,Bot,Bot
7,Cyberboss,Human,False,Bot,Human,Human
8,Rust-Winget-Bot,Bot,False,Bot,Bot,Bot
9,microsoft-github-policy-service[bot],Bot,True,Bot,Bot,Bot
10,LeonGungadinMogensen,Bot,False,Bot,Bot,Bot
11,TheBossMagnus,Human,False,Unknown,Human,Human
12,erikbra,Human,False,Unknown,Human,Human
13,MabelYT,Human,False,Unknown,Human,Human
14,Alphrag,Human,False,Bot,Human,Human
15,Dragon1573,Human,False,Human,Human,Human
16,doms9,Bot,False,Bot,Human,Bot
17,prql-bot,Bot,False,Unknown,Bot,Bot
18,pxwiz,Human,False,Bot,Human,Human
19,jnichols35,Human,False,Bot,Human,Human
20,ClementTsang,Human,False,Unknown,Human,Human
21,kbdharun,Human,False,Bot,Human,Human
22,dotnet-winget-bot,Bot,False,Bot,Bot,Bot
23,Witchilich,Human,False,Unknown,Human,Human
24,momento-github-actions-machine-user,Bot,False,Unknown,Bot,Bot
25,ousugo,Human,False,Unknown,Bot,Bot
26,anamnavi,Human,False,Bot,Human,Human
27,tiksn,Human,False,Unknown,Human,Human
28,BiosPlus,Human,False,Bot,Bot,Bot
29,chausner,Human,False,Unknown,Human,Human
30,SpecterShell,Human,False,Bot,Bot,Bot
31,Masamune3210,Human,False,Human,Human,Human
32,matracey,Human,False,Bot,Human,Human
33,azure-sdk,Bot,False,Bot,Bot,Bot
34,rsteube-bot,Bot,False,Bot,Bot,Bot
35,nebula-it,Human,False,Bot,Human,Human
36,JamieMagee,Human,False,Unknown,Human,Human
37,blockstack-devops,Bot,False,Unknown,Bot,Bot
38,ryfu-msft,Human,False,Bot,Human,Human
39,PckgrBot,Bot,False,Bot,Bot,Bot
